"{113VdSwhq9kDhdQhKDNjUirudSHoJAZAR9}\t"	[1, 7126.886]
"{1DrefKhSiLi9pqHnzbMeasVGizMxmjZkQ8}\t"	[25, 5446.35492082]
"{1DuQpJFHY4EMW1EGp3ppCw7MTjnPq8aTrL}\t"	[26, 4718.9997]
"{1Dx5C99dMgTrqmMcA2hipsM4ua9jHFc1rE}\t"	[27, 6131.41868484]
"{1DxGcvJ655zcDMP9VBgC2R7W1a68VvzSbS}\t"	[28, 6486.39137039]
"{1DzSnZnZeX8d5dxsxNUpM37UvXC22Zh1yG}\t"	[29, 5460.19893282]
"{1DztWLqgcHR1NBrKmiMhKpJqvdCxCCkXBs}\t"	[30, 5716.91491113]
"{1E1fFRsVTdzUA5eC8ouwoFzygCF9WCPjBi}\t"	[31, 5000.0]
"{1E3jmzhqUgQ6VaySpmVwqPvAvvssXfd2bT}\t"	[32, 34879.63455464]
"{1E4Xktj1aP5ejqYb6qXYaahGzv6NqfDZgC}\t"	[33, 4465.0]
"{1E5ED2QccU4ccyU9siNL8VjDng3jZQYTq4}\t"	[34, 30900.233328]
"{1E7jAtosrLCx1cbDT3BcYTRa9bDQ4GZNc3}\t"	[35, 7117.85143337]
"{1E8CN7ZzbJhUFVUF3Duh6JutSufLYZMfWN}\t"	[36, 4997.23012357]
"{1E9QDjSzUMuYdy4vePXxZhmkGeopkm1VfZ}\t"	[37, 99999.898]
"{1E9YiAQJzqT2kqhw3Ha7Gbi89Mbcc3DJAm}\t"	[38, 4110.0]
"{1EAahwRcBKnF4doVRTctH8G6tsYvj2DeNA}\t"	[39, 4184.70086549]
"{1EC7bX9TucqzKL4aCRQb5UhsgdxdSn2w4z}\t"	[40, 6679.88]
"{1ECRTsuSDdTmEEhcPaBSGFnAtc7bQdhBQu}\t"	[41, 5880.32849446]
"{1ED4WvSNK2NuaW18vaPJjFBJJnn9UdjBuy}\t"	[42, 4549.938182]
"{1EECyYDrjCBk39f2gKSsbcXLpRWu5pu1MF}\t"	[43, 30500.0]
"{1EEXNXByVWUsbDTmvNtrBuU8tNa557uneu}\t"	[44, 4130.0]
"{1EG9HJG9aGqzgGujfNQMiNbyqpKnFxafvE}\t"	[45, 37420.09314115]
"{1EGTSVRLpP5vvTVRsLcvoHGK6XNv48BUHf}\t"	[46, 8000.0]
"{1EGgArtZHFLc2KCJijhV6zWpzUrj54xRga}\t"	[47, 20000.0]
"{1EGzr9QDSUvUbs5TwuuJVS95gGGhsM4e4c}\t"	[48, 4125.9999]
"{1EH2eTvwPVv2xQFzPgm1hyf5RanFezSG3T}\t"	[49, 8000.0]
"{1EHg27osUrDMGFzjqi8wdMA5b18RvL7sei}\t"	[50, 6064.49]
"{1EHvGxxfGDj2XFUCP1M591hpqTpWkWLZyX}\t"	[51, 4711.74654926]
"{1EJBEdbWiGNQcyEdsjWz3jvHFzKtqQk8Li}\t"	[52, 4709.34803789]
"{1EJMyZ5ZFrNxyFMmB1tuQv5fQSZoYvSswY}\t"	[53, 6888.53095542]
"{1EJPA6kBu3pFnGkkH74X5KiPyGGDhfiRGW}\t"	[54, 4911.6162877]
"{1EJTgsLjviVuQiRN7jXefNgtSFwuovqf4z}\t"	[55, 5000.0]
"{1EJaPrhsxZyKmzUbPBRP7HK9RVHBzogvkT}\t"	[56, 4826.0]
"{1EJr7ES67a2vmj1RP1o5VPhB8ijWb8pbjb}\t"	[57, 6377.5]
"{1ELULixieoinr5tv798BiEwZ9xsbBXQ11L}\t"	[58, 4776.9997]
"{1ELrbW3q1T7D4bZA1FUYKZcGzsE2Q6s5eZ}\t"	[59, 8000.0]
"{1EM8NTDyDaMCGUQxUM5bjWsSqLT6gUJewx}\t"	[60, 5981.92329841]
"{1EMFebM7osyjuSukRtcdjckfvS7CGYC6mk}\t"	[61, 5232.49709808]
"{1EMVqxPgUvyqbbSvN65ENJ5q1y965fSxBh}\t"	[62, 6829.27666257]
"{1ENzoMDNhR3pWK21rCTFAmpZaSTEn2ugJC}\t"	[63, 6969.79327467]
"{1EPsLi8n4Rsdb6pwbGn43cFrKfSkWtbJMH}\t"	[64, 40414.719]
"{1ER1uo81VmjADDZ6vVK4FMVcgQp2L32uz2}\t"	[65, 4576.64806]
"{1ER9ptGkdWSNeWY3pvbvNhNZS8ie5qEj2K}\t"	[66, 10273.02740206]
"{1ESKY2AqWnbuNB6ZEaS562RwEaaC9L22pd}\t"	[67, 6159.327923]
"{1ETfcd3TXL9271cwQHaCAdUP1sALV5ceum}\t"	[68, 8000.0]
"{1EUuv99ZpmxkNBwdTRQyRG24KBkhgShKkL}\t"	[69, 4396.63813]
"{1EVJwzHemGNi2qYMmYFMD3Ch6GsTo8GLop}\t"	[70, 6720.49127241]
"{1EVKAMgmfr22vsQwWn3TzWokYFceZnC3hH}\t"	[71, 4894.3039904]
"{1EW9RaVKWq3tn6txNXU8SKyyE9StjQvYoQ}\t"	[72, 4302.27584292]
"{1EYCnxndxG9wFnumCtokreTbxv5YztUx36}\t"	[73, 12250.0]
"{1EYjLZabP6Dsi9VA8bLZcZ124nwefjP9Aq}\t"	[74, 6000.0]
"{1EZ59MnW1Qe1DiHGcDzPGcLyKtT3G4isJR}\t"	[75, 4001.0]
"{1EZH39t1o6ZbruBowi3VMUx9Tgr5MNFfv4}\t"	[76, 4207.08357989]
"{1EakRS53cmzr5Zkfar3BVUD5HwDqa1uQNw}\t"	[77, 4370.48534098]
"{1Eard4HPvy6cGwi87eXyHmqX9RxpwJBbHm}\t"	[78, 5543.34990999]
"{1Eb9JacpXP4rvzKRGywL1NUXHQQXAFDtxA}\t"	[79, 4933.9997]
"{1EbSvJS9ndHdrXpH5UQ6wKNL2QefHhv1gi}\t"	[80, 55000.0]
"{1EdVj1TVcq4Mbu5bkM73kAg3zy27bzRGxy}\t"	[81, 4150.51789496]
"{1EeT96B4ri5N496ze8rJnkCNdmtgeGYpgf}\t"	[82, 300000.0]
"{1Eg4GRp6qugUE3DA2cwdGiLzVKhLFNadtt}\t"	[83, 4318.41768432]
"{1Eg5cPVrseSjY3nLaAJ9psfZ1jYZm6bhdH}\t"	[84, 6814.80678162]
"{1EhrhSKG5i2wkDefGkRd1oTswDy66LAmNE}\t"	[85, 4560.09750392]
"{1EmuPyssTGxHEcBkVQotEzSgm7HaDs5xyv}\t"	[86, 8200.0]
"{1En3ztwJT4jjmwesuufFAGoJ5uEjGSxkNS}\t"	[87, 5000.0]
"{1EnJZu5Zc2wQ6xvRALpFMMuRKDbV7NsTgB}\t"	[88, 7836.14016071]
"{1EnRmgfVd7jDMavkHRV2PSssKKR2pMjqYT}\t"	[89, 11000.0]
"{1EnicRqdiQuEbWfM6nybtCVnkW9fNTM9XW}\t"	[90, 4100.0]
"{1EnsspvezxkvvE2MW29jU9BoCCQ2pF8Lys}\t"	[91, 4690.0]
"{1EoXdLHHd68FUq8jK8DoVmWiydAXo9XhJx}\t"	[92, 8000.0]
"{1EocMfnjTk9G6MZRpbQ42uCdSJxvj2VJtT}\t"	[93, 7999.998]
"{1EojSiP3bXrdKXbtCiZAyeHJhnwG2QDx3k}\t"	[94, 31112.648]
"{1EqBaqnarcWPPGJZQBqMHyfSARBbX5AmbC}\t"	[95, 6076.85499086]
"{1Es66AC3P1AmyctVjGFhEwLYTmSsqXNBtA}\t"	[96, 8000.0]
"{1Esg7ZoXh1oytd7GwJagHoq3AijfSbAeLg}\t"	[97, 15000.0]
"{1EsoNWDtfb1N6CbkYbL8cZMcVWS3UdS5hY}\t"	[98, 4350.0]
"{1EtP98zKfzzhPjyM4mLAy9eSZjt4pdpcFo}\t"	[99, 4715.0]
"{1EtsUYEZDfpBAPMzNghDqafcpK8m492L13}\t"	[100, 4556.72880885]
"{1EuMa4dhfCK8ikgQ4emB7geSBgWK2cEdBG}\t"	[101, 9200.0]
"{1EuTw2LE17bd3ziemF3AGN6fzPwjHmcobn}\t"	[102, 4525.0]
"{1EvwNz2LR3vJJjHG92CMN6mpsmFqBS1bAB}\t"	[103, 4965.50105]
"{1Ew2LgDCv4qSPyf7rtDCc1QE9Y8XwfLKkB}\t"	[104, 4347.01521]
"{1EwH7LedkZv4mnzkpiHJ8bmuDZjLNs97xr}\t"	[105, 5350.0]
"{1EwpjXmXGcNwkPUdZ8ToZsxEaAdihNYwLA}\t"	[106, 8568.1395]
"{1EyXW1WJKubw89aYLLfXjtUUoPN3NbNbjg}\t"	[107, 11237.0]
"{1Ez69SnzzmePmZX3WpEzMKTrcBF2gpNQ55}\t"	[108, 29658.7984]
"{1F129NVCGACW54MT92KnDMQfzpYjGSs7Pf}\t"	[109, 4717.1935802]
"{1F1UEEcHvQpqGP6hRbMrEzjW3KpWFaKLC7}\t"	[110, 8000.0]
"{1F2yVskXkPNQUJiF6wVkknwEpjXztVZAuv}\t"	[111, 35503.559642]
"{1F34duy2eeMz5mSrvFepVzy7Y1rBsnAyWC}\t"	[112, 10770.51520822]
"{1F3NyG9J51wNnnWbGaJGXNJZmR75UkL4FX}\t"	[113, 5464.44912301]
"{1F3R2D9AWBnnUTVKWsW7rBfdg38sxt2i5v}\t"	[114, 4776.24677705]
"{1F4yMWthPC64NzTom3u3D1W231UgW8fYq}\t"	[115, 8837.55975526]
"{1F5GHGyAQpxG2SA6a1ittNbsdEm4kNmJdi}\t"	[116, 5000.0]
"{1F7Amo3hth81rYrKJc2MGHgsE8sp2EtPgp}\t"	[117, 7350.02429272]
"{1F7Ckk72foeGFUVm5gfEamuobQtNTb9Pap}\t"	[118, 26328.05]
"{1F7FDBRc218xyStqD4FrzCGLS1mFxBCGJb}\t"	[119, 10000.0]
"{1F7YLUH5aBZSBuKHKgy1khuGwQTzkwnce}\t"	[120, 6098.63825141]
"{1F8MqS4qm6HRF99CL7bwudem8ZDyNKWbit}\t"	[121, 9500.0]
"{1F8X73wGyAR3iv1wjWSKNLDzUaRpNWeEE3}\t"	[122, 5504.47204407]
"{1F8uwK1A9VfJWC73wj7ENxeHfoLxmUnBPD}\t"	[123, 4904.43114]
"{1FBG8QjbByBe9KWGW1kcusarD5jVuUyfm1}\t"	[124, 6939.11943772]
"{1FBiCxd41EgQ4u6PQVsAadDoot7FD9sx99}\t"	[125, 9978.31]
"{1FC11t4yuZfAzr277VrfwAZc4xdcjHgoCF}\t"	[126, 4413.19121243]
"{1FFDjtKS4fbnB4PwAcW9VMdcZu7RyZnrJj}\t"	[127, 12100.0]
"{1FFZZmAqWRiDpywytktZ7qQTXSvQh44exB}\t"	[128, 9700.0]
"{1FFZdH97kskw8rmKeqjL9ybX3jdQ5MxrWQ}\t"	[129, 4658.85086488]
"{1FHZ2e9tcYu6rdbbcXYwWkarJhtU9zH4sk}\t"	[130, 10000.0]
"{1FJuzzQFVMbiMGw6JtcXefdD64amy7mSCF}\t"	[131, 6999.0]
"{1FLVd4yBW2AbRVrewy4KUTk5SrbHkk3kWB}\t"	[132, 4522.2]
"{1FLdbHTDLCph24rSEZ3CiWF1orhF3LDgqL}\t"	[133, 8968.81422348]
"{1FMWaSLTZ5vHFmAdRpGDhVtgpDrADCpLsZ}\t"	[134, 4144.83515613]
"{1FNQGn2PMHCywoFpcpc6ZnaN1JgVXgjd4P}\t"	[135, 6170.41103362]
"{1FNkA65TzETxyJPdzqX9WwcwxV9BbJ8brD}\t"	[136, 6147.05573731]
"{1FP4wRj5bLg3NGWngBUCJubG5YM4X2JX9j}\t"	[137, 5000.0]
"{1FPKVuGunPMt1A9XZpSiDQXEykwJbCtVRz}\t"	[138, 4453.69950798]
"{1FPrfFovckTfGvoUQBvg5zgTW92g5bPyzb}\t"	[139, 4500.0]
"{1FQW6okySnqTcw4EE2XDdXpmKDgdsPNQSJ}\t"	[140, 8642.34]
"{1FRUrdiX8ZUHsSHDwWWUMr1aJzdN6BYXRY}\t"	[141, 4115.37882899]
"{1FSYDuHvpVHppZNFojCZnppqd6bp5rgExR}\t"	[142, 5221.57251368]
"{1FTxwd1z2Gthe1XsxEGFyqYwQiYj3awXdJ}\t"	[143, 10011.32326329]
"{1FTy2PiJbEsCZm9KpyUMHaC72fm1okbvEi}\t"	[144, 4775.20138418]
"{1FUmgwLh6HXo9BjcDioZ3rZM824EUQCWS8}\t"	[145, 4138.53926223]
"{1FUrUaGtCB1DUufbJHDNxpVTySVK1YYgSY}\t"	[146, 15655.945755]
"{1FUukboFHDGXGyiza978C9WxXNd7j9zwBW}\t"	[147, 5010.53471528]
"{1FVbwY4ErxRLQuG18MvL7pQzEtwGc7nZ2V}\t"	[148, 4441.06497]
"{1FVxfDEuSgVivzDwCBGc55NiHsDq7HYcnY}\t"	[149, 8000.0]
"{1FWLopmPBjQ5WKwRZ35eiofSoGvbBX9Qxb}\t"	[150, 16154.2537279]
"{1FWrSy8F5HPcqBZeEkE9HQRVtvkMXwtvx5}\t"	[151, 4191.27425986]
"{1FWwkxzGfviJ69mgc8CyMegmvU3S39GyfX}\t"	[152, 6149.07690172]
"{1FYTVCuSego7wpK2ZptNP1z2axY4Hi1scb}\t"	[153, 4150.28066969]
"{1FZkhSwiXn9zsubHicGHMdWuzvZnCKPtVf}\t"	[154, 5541.26220862]
"{1FZovYMFRHXhKgHaSVJXpiLQnzkykwiKqk}\t"	[155, 4855.9997]
"{1FaAajEbpDuxJHjCm5gjNowSG7HQaGKexa}\t"	[156, 4085.37455]
"{1FbcqWZSoAD2cHRuLzPHrHmkgC2VatHEAy}\t"	[157, 4245.62183769]
"{1FdJxfhQDMG96t3ZdMo7fuCLWouseTJufS}\t"	[158, 4901.6160213]
"{1FdLb3w5kLr3m3WPfBe68yy5arKzyYPd3d}\t"	[159, 5320.9629736]
"{1FdNxpShistUy4YEEdumSYkpNLqfzpqQC}\t"	[160, 6093.96487041]
"{1FdmUHTvVNZZ3AunjQiRQkQBMGfaGMyfgc}\t"	[161, 5000.0]
"{1FeSRnut5MS2BdVbrLDN3jWzJZaS7EVBbU}\t"	[162, 20000.0]
"{1FeexV6bAHb8ybZjqQMjJrcCrHGW9sb6uF}\t"	[163, 79956.0]
"{1FfBsUs7ZT2zjnHcmmPmNwZENNzcTKpV8j}\t"	[164, 4226.181527]
"{1Fh6QFgD2GuHYjYqzSCLWRXhjwAJCvEAiZ}\t"	[165, 4117.81857]
"{1FifXf8PX7e4w5yFwVeZacFCxZyhR6Qsta}\t"	[166, 11279.06769921]
"{1FjPLunZtKetaezpEyybgMv22fkM24d9qZ}\t"	[167, 9960.98]
"{1FjT7rLPx7oqxBVXJiaPm23a7YQVqabUND}\t"	[168, 4699.999]
"{1Fjyyor72Ztdt6A57iHMguerdAu7eptyaF}\t"	[169, 4854.28246282]
"{1FkqzBwjEPvaaLMnRFoM21whDu8tpSYX3X}\t"	[170, 10523.0]
"{1FmgRjQfXFLmxNL2tkqHWNhs8GySX24Gip}\t"	[171, 10358.37001578]
"{1FnTPfBVxQYJ2gHQi78jCgD8UufDJGFcp4}\t"	[172, 7565.58169088]
"{1FoRQjsS3npXLXKRRcv574mz11AHohroA5}\t"	[173, 4995.97]
"{1Fpn1jo1r2LcPPMohbKFGYrWZNvDAHNvRQ}\t"	[174, 8947.03236332]
"{1FqZQ7ATuGaxxCgghE4T7eWHgFnLjgj9h7}\t"	[175, 4860.52272172]
"{1FqtVSBgkq9g4rj9hQDQ4a6jqabxqD4XF8}\t"	[176, 4425.83149571]
"{1Fs6vEttXfWczub86UARBnt19wthmLeH2B}\t"	[177, 4509.45828415]
"{1Fsnpv1jNKBDB9LZbAP6EsPFdRwkEuqjCC}\t"	[178, 4645.0]
"{1Ftig4paPxGyLX6RZ519KNXPbrmsG4TXz8}\t"	[179, 11354.86888631]
"{1FuuaK5jFyUTcuC9Km89g7mVQDw8HuueRb}\t"	[180, 19999.9995]
"{1FvMVtzxACJejfZvqtiSsTrUCpR2HYveB6}\t"	[181, 14329.9]
"{1FyNcducxXi6p3U6P9vSnGa6d8BFwVDSg7}\t"	[182, 10000.0]
"{1Fyhf28Yxxfo7Qy4ZLHWKR35qZomgHvttc}\t"	[183, 4792.9652687]
"{1FzAohdX6Ekuv2LS2aSw5z46xj2yJaGMjr}\t"	[184, 5000.0]
"{1FzpVCh3gbg8npLYPcF5pqfLwXfoiDpkPc}\t"	[185, 6190.47639366]
"{1G1AndHMczVQYLGfYJzqkDjXrFifpMsTaZ}\t"	[186, 10000.0]
"{1G25HLrnmCcX4ruKFEEPXy3c9cwpC9ZdSo}\t"	[187, 24456.23370361]
"{1G2FZGfyozjiuG2TkbYmF7p2qH5Q1vS8YP}\t"	[188, 5000.0]
"{1G6o71V3j6d31zeYJhW6qEDgC8hi88r1Cg}\t"	[189, 48000.0]
"{1G7ACz3JhEAE7KDCd8ZeXZQZSdFaLEoAzZ}\t"	[190, 8000.0]
"{1G9nTWiXaSpBtm3KW1wyuU2pM2PY58wLTi}\t"	[191, 16165.0]
"{1GBQFkSvdjTUt3EwdGcHuNtQhn1AjFhe2c}\t"	[192, 4591.9997]
"{1GBiq2GGQZuHgwD8cyjSdtCaeXW7XnsF7N}\t"	[193, 5562.0]
"{1GC9KKpBDq3Do7BfoEDdAg4hjhgPEsMf8f}\t"	[194, 5907.86988288]
"{1GCrQpbnTQyCpFgX64bjk2B4GpNsSV1ncy}\t"	[195, 5000.0]
"{1GD2xEKEEQLcJa3FcJX1xmH3M9XZFsnfZP}\t"	[196, 5266.76418667]
"{1GEPJiMSDvXHU83GhHHxrVmWL7tt7HPVyD}\t"	[197, 6000.0]
"{1GEPiKRPBVx1nzd6TKJ6svQ2hxooFUuw3A}\t"	[198, 13000.0]
"{1GFf6TUT2mDVx6y5qb4XWgAEWGGBi9Z5L3}\t"	[199, 4855.03283]
"{1GH77bjZkV1RQtCDDVFCQDTjmhNcaShew8}\t"	[200, 15282.29]
"{1GHQdHuyikGC8B1G4vqYBaD4CrDGobr7Dx}\t"	[201, 4503.69129]
"{1GHj7eTmeG5PY1i19WdQ6b3ra2uxjTjDSx}\t"	[202, 4318.88700868]
"{1GHrtJRmG1KZCg4Lwh4oUZj6U97cjXXMg1}\t"	[203, 4579.29457748]
"{1GHtaTo5RUwJAoEC3f4DL3HgoV3Z8RtbSh}\t"	[204, 6005.6758437]
"{1GJG7XNiGPfmAASXZsmiBbrdo9ov9mzLiJ}\t"	[205, 4426.81429571]
"{1GJHhsdhAKV1Gq8hPiTAd6uCZbh13G3psP}\t"	[206, 5363.52350462]
"{1GJuhPWYYhDfTkJNbRCqb19DriVdkR5dyT}\t"	[207, 4468.0887245]
"{1GKYCGE1jSZNtUYc5XBgksbGqjjSV5dqyA}\t"	[208, 5102.29667133]
"{1GL9UuzcUmQ5ctoVVeqPN1FbYDsWoTRNpN}\t"	[209, 40000.0]
"{1GLW6vqEsD9VYA991A8QcPdR9bgjHDKzAR}\t"	[210, 4154.6502504]
"{1GNBnkXohjwf42vzRG5NmkQHFX6iAZb2Sa}\t"	[211, 50000.0]
"{1GNC6L6JWVrxK9A29UhY9SpNs5BKVsEqVP}\t"	[212, 4756.54138]
"{1GPbWRRb298trtUTA7QsfkXYCn6qrVHJuW}\t"	[1, 10000.0]
"{1GQ7uBXZs9SLjt5gzWxdAu1Jov968oZi5b}\t"	[2, 4303.21530996]
"{1GQKuBq4KjdYvakRZjLDtNknmKrPUUDxME}\t"	[3, 5000.0]
"{1GQweFBNdioYfWXXr3ojMEXtBULZZrt5LV}\t"	[4, 10000.0]
"{1GRmDsMiXK4Z4jEkTmU5PLwAZmUxaa7oQf}\t"	[5, 5000.0]
"{1GSNd5FcMB3NWbfkvJG2cq5NW1vA7cz3yF}\t"	[6, 40000.0]
"{1GSSh52hhXCARsWXP1sMhkwuSMNSg7Z3kq}\t"	[7, 5359.24072301]
"{1GSeJqWyG78feCP8tk1obVM5PAgQjJJFGT}\t"	[8, 4145.33515613]
"{1GSyJ2djS287CFpPKsBaYTdkK5STDwfAwK}\t"	[9, 4512.35542055]
"{1GT4vkeCSeMQXhzsvAnZE82akeg9xP4dfa}\t"	[10, 12091.463]
"{1GVJYkvfWc8aefUhxYHVEG5S6rMWjJbKLV}\t"	[11, 4101.83748303]
"{1GVQwVnocCQqyesruAhD2BdcDZYaWYNoRW}\t"	[12, 6193.43159366]
"{1GVW78U2Wr5Agtcu7fPs3KF2BCm1BARFw9}\t"	[13, 6057.86939755]
"{1GVZebYbmLey3B31vBh925XQXaQNBAr9LT}\t"	[14, 4855.97173043]
"{1GVyZ77swgLJH6nW1HtQfxxpURpoETenc3}\t"	[15, 7096.32438586]
"{1GZLd3MbFVdMk3GQrx8bpKG3r4C7c18B2a}\t"	[16, 6500.0]
"{1GZy1gs1D2a4m9fngUB1UcRDbvHTX9oLG7}\t"	[17, 4855.80833666]
"{1GaEZXTkB5hoZhDPNXvHqxYNwpvKNZCaLb}\t"	[18, 9851.00000001]
"{1GcWgyPsiftsXQbo3HwSdk613rSo3mLS49}\t"	[19, 14234.718647]
"{1GcYjkboHowzdkmpoxFPwiNAhM72nG2eXB}\t"	[20, 4060.0]
"{1GcunvKEKB3vyVX89aTrkAnr2pbXPF86Xa}\t"	[21, 5000.0]
"{1GcyDyefnsraDV9rU9L4r79GDmxe8KULj9}\t"	[22, 7996.0]
"{1GeHSFM5DxpaTkLQkXjeYUkhD1u6FAPkP4}\t"	[23, 5988.6]
"{1GeMsw12qf19vEBUgMnMdtfYKnHuZynyEM}\t"	[24, 34739.9958]
"{1GgRScZn5F29ZtTo1xpnvaCJZ3KUQDxPyS}\t"	[25, 4541.21908]
"{1GgoNJ58wgVAZ4jU93695JdUv6QCerxszb}\t"	[26, 25925.12807001]
"{1GhRU1dZooSn9G4jiCKK67wbY6kqxsGVaW}\t"	[27, 4455.3]
"{1GhbKHsbzDVUBrspdDe5aorwKgjWwaCYHE}\t"	[28, 4425.0]
"{1Ghj9NaHP6k1R1bWbnrqiGwvvZB24zPnZp}\t"	[29, 5688.68774839]
"{1Ght9aJw4R4V18URvnrr1fKVaKug6rUJGH}\t"	[30, 5274.78867301]
"{1GjZuMW2kpY8jchyNsgeeHusRouPvCdtC4}\t"	[31, 4096.70590951]
"{1GjdAwmUm5aMSo4v9CJzXnqYJb4bHM4HCS}\t"	[32, 50000.0]
"{1GjiLGzSXHPbqhaQuFecByW5zFYSgdRaQe}\t"	[33, 9500.0]
"{1GnQawgdyun5dCmAaqxaNiMHF5VhawAgfm}\t"	[34, 8000.0]
"{1Gnhy34EBtz9ftQdGZooGTpVE6E9wL2VZN}\t"	[35, 21743.0]
"{1Gnxz42cSgKGjx8UJLVTakTrdFSNiGpGTx}\t"	[36, 11181.695498]
"{1GoGrqD9TWyoDDg8nJfbkgdYAw2fVuPXps}\t"	[37, 7041.72668277]
"{1GqA8iMDjVPRr6c595nEhsq5uHU8pDNKSs}\t"	[38, 6198.84662203]
"{1GrVLc5inHm7mKeRUZiug4j6ij2YZZiB7t}\t"	[39, 9480.39]
"{1GrhL2unevwvKfreEGDMo4GLeX95XbFJir}\t"	[40, 11000.0]
"{1Gt43o6xsdbWSnta3RhsqgCAWS4P2CGXQ2}\t"	[41, 5410.72712301]
"{1GtfNGKafW9aEpeL1wSX8tSYPiZ8sMfexS}\t"	[42, 4250.0]
"{1GuxVSDm9BXGHTbRafRDqT8ERmvL3j9PDc}\t"	[43, 4884.47618517]
"{1GvPbnnZsh2PpmhyKdgrdb8RjRD6ji7XtM}\t"	[44, 50000.0]
"{1GvveGWszTqmTc2YmqJEK5nDU1NAFYQrR9}\t"	[45, 4628.00538563]
"{1Gw1gUTCNetDQXxjXXVR6zUUEpyZc2stMb}\t"	[46, 17020.066677]
"{1Gx49gkDDeGvPGuWNdzwvVz7pP984VX1wf}\t"	[47, 5703.68588419]
"{1GxEgzNZbAHddEEXCpoHm54weuCxDBUMHs}\t"	[48, 4700.0]
"{1GxLZcy85AMKostsGiKhbBtEhjvCB9rXbX}\t"	[49, 6141.72540172]
"{1GxVwniCtooEtWoEVSiCCWWHQJdKkxG1cT}\t"	[50, 7275.52191597]
"{1Gy1gufmLpVWArwPiUK5SxFbGH5Vhz199m}\t"	[51, 25788.9475]
"{1Gy5UaaVJLVAmbuu7GKgDuP5DN3LS3tfz7}\t"	[52, 4920.22968747]
"{1Gy63ZjLKxFFpRWs1D1W5ziS9wMpyND25T}\t"	[53, 14825.506238]
"{1GyACVqHCeDGF5bn4FSQPwviuZsUTfHUAY}\t"	[54, 10000.0]
"{1Gz5KVWpE2N63Q1CLSZW7ufcnEJ1WCbtHB}\t"	[55, 4925.0]
"{1Gz5mC21WMqARWwjS2AgUfedfpg8RVM4hn}\t"	[56, 4335.0]
"{1H1crLquAafPX1c6CK5Gag77bvyKEwAETA}\t"	[57, 5000.0]
"{1H3apdGYxDGwgBVLu1hF9LPHbXYfAG3y7}\t"	[58, 4722.16520861]
"{1H3fQ3ZKKqsBtzqGDsch5v7JcVckLZit4X}\t"	[59, 5079.74965079]
"{1H5wrNzEB6Gf4gxP2jELXHawB17B6HFUYd}\t"	[60, 10000.0]
"{1H5xbRwoN56XDAgcTbLdJmLax5YUm1aYtj}\t"	[61, 6155.65]
"{1H6U9DfLc88HJp33VNbPw247LMJZri6Y25}\t"	[62, 6430.99210568]
"{1H6ZBrJweDvpjWaoBxGiBVJqE9QAVGeYT4}\t"	[63, 4555.0]
"{1H7iEPx8a3gn4PKcQFEfmdYwz3USRTaboF}\t"	[64, 4418.85099]
"{1H8PAUxZti5fwzbbeK5gwDdXvEZouSsNuV}\t"	[65, 50000.0]
"{1H9KQiFULnGn4bj4qZKSJoFWv8v3SQYV4s}\t"	[66, 4510.0]
"{1H9zwqn3MtPwVKVMiAFcWRarMdWypBY5Gk}\t"	[67, 9000.0]
"{1HARDyrSsHiUggRGu5gWM1Qms2R5GCG6qD}\t"	[68, 11326.02]
"{1HAUxSXUNoFKaqCKLb8Me4hUjT2f5ALmN7}\t"	[69, 6409.43253323]
"{1HAo32apFqzKcSBkXVHR5vLnnFuuFoxzFU}\t"	[70, 11509.82549641]
"{1HArzDvRcb5tcp8z27oAvX4jH2RSTS2tcw}\t"	[71, 6342.47115485]
"{1HB2nvhVp8KweLj3gUEZrpDBiCqGv8GBan}\t"	[72, 5020.0]
"{1HB4xBxmqDZMqfZUmTg2BLrZy12YAzq71H}\t"	[73, 10000.0]
"{1HF756sXDeFrAwoxMx4V1vmDBrqCLuo1MS}\t"	[74, 13775.0]
"{1HGgPh1NHvV5kyNeDJHUoSTFdkePDW9Y9e}\t"	[75, 5554.98841245]
"{1HHNNWFqAPqNdPQEUhT8keePvRKZXcq9DV}\t"	[76, 5000.0]
"{1HJVFsxmPuD2f78z6T57s7W93wsWDT8NrK}\t"	[77, 6883.94700242]
"{1HJeVdX1sRYcsH3dQpjyMPRSLHKipcPMh1}\t"	[78, 4960.0]
"{1HJrTUaz1M4V2JPL5my9VQ3Tqj8rQskWSp}\t"	[79, 10998.78209084]
"{1HK1mscLpg3LvMCVBwxeuLrpkYzXevv7Lp}\t"	[80, 4974.99]
"{1HLBVc937ToKZvXMS7VnHTThW1WcY95Ptc}\t"	[81, 5535.15771495]
"{1HNUv5RxxBWayioBHoXTAKxqWcGGknoYqW}\t"	[82, 200000.0]
"{1HNxkfCvVg1QneWYjDEu36gPjZcaTmb2nT}\t"	[83, 7044.73978931]
"{1HP9EyQYEseRtj1tQDUP63h64QFXDL6aBY}\t"	[84, 4375.0]
"{1HQZ3AkE8nphVRHawTnCFjQ1AYru9qZPim}\t"	[85, 5000.0]
"{1HR9CtdSfaDzpugzFcFdnfPMcxDxtWCvyX}\t"	[86, 15000.0]
"{1HRsVRyvhbVAqMJbc1emsmPoKdHQXCB5MQ}\t"	[87, 5000.0]
"{1HRvzWFSGwMw7a5Jwf5xDPAJXcKvpsMhVD}\t"	[88, 4269.20652502]
